Band Name,Time,Genre,Address,latitude,longitude
AMATEURHOUR,12:00pm – 2:00pm,Electronic,2 Kenwood St ,42.400467,-71.119135
Ana Schon,12:00pm – 1:00pm,Indie,11 Simpson Avenue ,42.3993278,-71.124047
Around My Apartment,12:00pm – 12:30pm,Rock,38 Bay State Ave ,42.3992344,-71.1150057
Awnthay,12:00pm – 2:00pm,Rock,6 Park Ave ,42.2847869,-71.8082359
Baby Bowler,12:00pm – 2:00pm,Rock,41 Whitman St ,42.0212353,-70.9525832
Backshore 500,12:00pm – 2:00pm,Rock,8 Foskett St ,42.3968548,-71.1153823
Barbershop Quartet Showcase,12:00pm – 2:00pm,Americana,28 Newberne St ,42.3956696,-71.1166761
Beft,12:00pm – 2:00pm,Rock,53 Paulina St ,42.4014277,-71.1237623
Big Jon and the Mattress Factory,12:00pm – 2:00pm,Rock,42 Walker St ,-33.9297316,151.1465271
Bird Friend,12:00pm – 2:00pm,"Folk, Rock, Singer/songwriter",9 Chapel Street ,51.7002295,-2.362438
Birds Already,12:00pm – 2:00pm,Indie,23 Gorham St ,42.3991673,-71.1260428
Black Diamond Fortress,12:00pm – 2:00pm,Metal,19 Pearson Rd ,42.4012278,-71.1142235
Blues Woman,12:00pm – 2:00pm,"Folk, Rock, Singer/songwriter",17 Packard Ave ,42.4026469,-71.1244298
Boston Liberation Center (BLC) Band,12:00pm – 2:00pm,"Jazz, Latin, Pop, Rock, R&B",174 Morrison Ave ,42.3966775,-71.1187481
Brother Gabriel,12:00pm – 2:00pm,Blues,85 Bromfield Rd ,42.4041097,-71.1162296
Capo/Regime,12:00pm – 2:00pm,Indie,20 Kingston St ,42.3969039,-71.1260907
Chloe Borsody,12:00pm – 2:00pm,Americana,47 Grove street ,41.6165873,-70.4461719
Conch Republic,12:00pm – 2:00pm,Rock,60 Wallace St ,-37.8236525,147.6082838
Das & Friends,12:00pm – 2:00pm,Singer/songwriter,51 Grove St ,53.3225341,-0.9393444
dayes,12:00pm – 2:00pm,Indie,41 Corinthian Rd ,50.9887946,-1.3669521
Doc Huth and the Uncouth Youth,12:00pm – 2:00pm,"Americana, Bluegrass, Folk",72 Simpson Ave ,42.4012056,-71.1226959
Echo Bridge,12:00pm – 2:00pm,Americana,45 Russell St ,42.3934136,-71.1218315
Eight Foot Manchild,12:00pm – 2:00pm,Metal,46 Moore St ,42.0711129,-72.5258246
Even Jucier,12:00pm – 1:30pm,Rock,2 Appleton St ,42.3714143,-71.1609775
Fai Laci,12:00pm – 2:00pm,Rock,31 Winter St ,42.7776099,-71.0786522
Fells Brothers,12:00pm – 2:00pm,"Americana, Indie, Singer/songwriter",23 Packard Ave ,42.4029768,-71.1242192
Fly By Brass Band,12:00pm – 2:00pm,Americana,28 Foskett St ,42.3971492,-71.116215
Foamflower,12:00pm – 2:00pm,Rock,38 Bay State Ave ,42.3992344,-71.1150057
Ghost Town,12:00pm – 2:00pm,Funk,30 Conwell Avenue ,42.4071831,-71.1262912
GloveBalks,12:00pm – 2:00pm,Rock,173 Morrison Ave ,42.3969098,-71.1183734
Good Day for Greg,12:00pm – 2:00pm,Punk,50 Foskett St ,42.3975542,-71.117118
Good Trouble Brass Band,12:00pm – 2:00pm,Funk,1060 Broadway ,42.4016737,-71.1250679
Gov't Disco,12:00pm – 2:00pm,Indie,173 Morrison Ave ,42.3969098,-71.1183734
Graham Sahagian and Pat Convery,12:00pm – 12:30pm,Indie,9 Westminster St ,42.0800191,-72.5174846
Graveyard of the Atlantic,12:00pm – 2:00pm,Indie,38 Meacham Rd ,42.3960662,-71.1256576
Hot Lunch,12:00pm – 2:00pm,Rock,178 Morrison Ave ,42.3967703,-71.1188813
Hush Club,12:00pm – 2:00pm,Indie,201 Holland St ,42.4016686,-71.1262033
Jan Marie & The Mean Reds,12:00pm – 2:00pm,Americana,14 St James Ave ,-37.8805444,145.3748507
Jazz Rats,12:00pm – 2:00pm,Jazz,14 Ellington Rd ,42.3955047,-71.1189013
JENT,12:00pm – 2:00pm,Pop,15 Hall Ave ,41.9048844,-71.3743089
Jordan Lampert,12:00pm – 12:30pm,"Pop, Punk, Rock",65 Conwell Ave ,42.4080088,-71.1276651
Karima and the Boys,12:00pm – 2:00pm,Blues,67 Winslow Ave ,42.3962389,-71.1189529
Leonard Da Vincis,12:00pm – 1:30pm,Rock,15 Leonard St ,-33.7075087,151.100827
Lowden Sound,12:00pm – 2:00pm,Indie,82 Lowden Ave ,42.3975572,-71.1152181
Luigi's Fishtank,12:00pm – 2:00pm,Rock,51 Russell St ,43.1552599,-77.57899
MARS,12:00pm – 2:00pm,Rock,71 Wallace St ,-37.7592765,144.9465978
Matt Sheehan and Friends,12:00pm – 2:00pm,"Americana, Blues, Country, Pop, Rock…",18 Westminster Street ,42.6074608,-71.923244
Michael Boezi & The Stipulations,12:00pm – 2:00pm,Indie,5 Hall Ave ,-31.9471993,115.912328
Michael Maloney,12:00pm – 2:00pm,Pop,30 Newbury St ,42.2620286,-71.811408
Miles Davis Square Jazz Ensemble,12:00pm – 12:50pm,Jazz,32 Chandler Street ,42.7012402,-71.170556
Miss Bones,12:00pm – 1:00pm,Rock,8 Russell Rd ,42.2357435,-72.8811175
Mnemonist,12:00pm – 1:00pm,Indie,15 Garrison Ave ,42.4048308,-71.1310989
Molasses Disaster,12:00pm – 2:00pm,Indie,70 Bromfield Rd. ,42.4036187,-71.1165528
